NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV,POPEST2016_CIV,POPEST2017_CIV,POPEST2018_CIV,POPEST2019_CIV,POPEST2020_CIV
USA,F,4,1985630,1993216,2016024,2013623,1956684,1961637,1965133,1951686,1955855,1963901,1977745,1964865
USA,F,5,1984770,1988101,1998373,2021052,2019136,1962991,1968677,1972741,1959115,1962140,1969055,1981945
USA,F,6,1991082,1993604,1993359,2003376,2026325,2025129,1969565,1975831,1979831,1965077,1966849,1972968
USA,F,7,1973512,1979937,1998993,1998602,2008875,2032338,2031542,1976389,1982515,1985450,1969451,1970498
USA,F,8,1981038,1971169,1985281,2004340,2004421,2015050,2038698,2037986,1982528,1987716,1989491,1972830
USA,F,9,2028667,2018387,1976595,1990745,2010171,2010609,2021471,2045058,2044117,1987834,1991601,1992717
USA,F,10,2036552,2044915,2023940,1982199,1996357,2016411,2017209,2028238,2051472,2049679,1991833,1994965
USA,F,11,2011159,2010708,2050585,2029755,1987825,2002428,2022633,2023812,2034569,2056959,2053678,1995208
USA,F,12,2006105,2009641,2016509,2056466,2035446,1993711,2008578,2029205,2030081,2039990,2060956,2057048
USA,F,13,2013123,2014688,2015383,2022068,2062095,2041565,2000331,2015641,2035642,2035641,2044162,2064369
USA,F,14,2030463,2022654,2020693,2021101,2028021,2068613,2048610,2007870,2022540,2041625,2040262,2047865
USA,F,15,2065842,2060533,2029406,2027053,2027712,2035532,2076776,2057103,2015600,2029202,2047010,2044536
USA,F,16,2100158,2098173,2068363,2036904,2034928,2036566,2044802,2086241,2065586,2022806,2035149,2051722
USA,F,17,2132086,2123232,2107972,2077930,2046557,2045648,2047590,2056121,2096450,2074141,2030153,2040578
USA,F,18,2191946,2182161,2133140,2117531,2087136,2057216,2056351,2058056,2065237,2101205,2077645,2031438
USA,F,19,2234831,2228011,2191143,2141220,2124636,2095821,2065851,2064704,2065468,2070170,2107066,2081506
USA,F,20,2200396,2225782,2240148,2202130,2151075,2135848,2107475,2076766,2074488,2073319,2077036,2112148
USA,F,21,2119770,2134986,2238618,2252603,2213985,2163829,2148919,2119625,2087658,2083258,2080634,2082345
USA,F,22,2075134,2086373,2149252,2252564,2266818,2229056,2179475,2163455,2132925,2098608,2092711,2087645
USA,F,23,2046053,2054001,2102614,2164856,2268620,2283911,2247027,2196564,2179347,2145756,2109904,2101398
USA,F,24,2074034,2070691,2071109,2119224,2181478,2286769,2302987,2265185,2213192,2192876,2157779,2119313
USA,F,25,2090322,2101426,2087967,2087687,2135810,2199397,2305939,2321613,2281607,2226067,2204271,2166675
USA,F,26,2045249,2048185,2117571,2103744,2103926,2152864,2218253,2324351,2338390,2294817,2237514,2213314
USA,F,27,2098762,2092247,2063422,2132732,2119185,2120761,2171506,2236525,2341334,2351360,2305647,2246035
USA,F,28,2088322,2103839,2106272,2077364,2146629,2134444,2137797,2188711,2252248,2353471,2361648,2314068
USA,F,29,2097735,2090283,2116134,2118602,2089925,2160565,2149959,2153042,2202691,2262730,2362258,2368649
USA,F,30,2118205,2129865,2101193,2126933,2130123,2103004,2175051,2163834,2165671,2211909,2269918,2367895
USA,F,31,1976157,2009839,2139320,2110481,2136456,2140939,2115567,2187241,2174982,2173606,2217867,2274509
USA,F,32,1987040,1975884,2018105,2147383,2118663,2145547,2151719,2126650,2197181,2182041,2178864,2221933
USA,F,33,1938324,1964592,1983101,2025174,2154630,2126842,2155435,2162083,2135862,2203627,2186747,2182376
USA,F,34,1918577,1908809,1971130,1989428,2031436,2161901,2135991,2165074,2171020,2142058,2208012,2190113
USA,F,35,1971236,1969080,1914624,1976626,1994937,2037389,2169739,2144011,2172394,2176155,2145023,2210305
USA,F,36,1907515,1918563,1973827,1919393,1981583,2000339,2044008,2176088,2149596,2176107,2177935,2146444
USA,F,37,1977077,1958018,1922624,1977994,1923821,1986418,2006220,2049232,2180808,2152380,2177392,2178686
USA,F,38,2068234,2047974,1961550,1926258,1981700,1928357,1991818,2011431,2053693,2183582,2153707,2178247
USA,F,39,2193502,2171522,2050923,1964632,1929434,1985709,1933320,1996731,2015132,2055909,2184189,2153939
USA,F,40,2188661,2194269,2173499,2053072,1966959,1932312,1989470,1937164,1999577,2016394,2055601,2183473
USA,F,41,2064286,2086345,2195498,2174746,2054695,1968901,1935616,1992696,1939602,2000534,2015781,2054698
USA,F,42,2044868,2048045,2086966,2196149,2175584,2056052,1971286,1938005,1994669,1940113,1999685,2014673
USA,F,43,2066805,2060269,2048175,2087199,2196177,2175992,2057268,1972587,1939126,1994413,1938902,1998057
USA,F,44,2119281,2101610,2059979,2048040,2086813,2196026,2176509,2057997,1973004,1938316,1992759,1937094
USA,F,45,2269637,2234501,2100565,2058931,2046975,2086017,2195658,2176176,2057184,1971294,1935523,1989891
USA,F,46,2287246,2289097,2232564,2098556,2057026,2045552,2084988,2194460,2174251,2054430,1967664,1931939
USA,F,47,2295699,2295902,2286159,2229799,2096091,2055069,2043916,2083333,2191947,2170823,2050334,1963734
USA,F,48,2299977,2298004,2292204,2282706,2226492,2093250,2052520,2041424,2080227,2187934,2165947,2045796
USA,F,49,2340368,2335494,2293546,2287994,2278501,2222653,2089989,2049205,2037703,2075683,2182396,2160402
USA,F,50,2359205,2354303,2330040,2288477,2282945,2273520,2218014,2085809,2044593,2032446,2069830,2176146
USA,F,51,2273313,2288379,2348264,2324173,2282388,2276980,2267859,2212718,2080341,2038761,2026054,2063126
USA,F,52,2293124,2282738,2281713,2341417,2317055,2275681,2270593,2261850,2206549,2074106,2031997,2019165
USA,F,53,2238626,2267877,2275556,2274370,2333949,2309671,2268705,2263697,2254754,2199272,2066735,2024555
USA,F,54,2198157,2196295,2260049,2267645,2266363,2325931,2301917,2260949,2255545,2246298,2190510,2058285
USA,F,55,2180983,2183265,2187873,2251497,2258841,2257673,2317370,2292994,2251681,2245898,2236322,2180447
USA,F,56,2081176,2108287,2174606,2179001,2241836,2249374,2248258,2307770,2283139,2241375,2235060,2225128
USA,F,57,2030869,2036195,2099076,2165322,2169004,2231782,2239134,2238061,2297041,2271760,2229733,2223019
USA,F,58,1960031,1963477,2026718,2089379,2154882,2158594,2220794,2228214,2226504,2284737,2259245,2216841
USA,F,59,1887339,1914570,1953568,2016758,2078661,2144017,2147493,2208989,2215733,2213331,2270952,2245005
USA,F,60,1875601,1874305,1904371,1942994,2005485,2067268,2132327,2135345,2195760,2201428,2198923,2255430
USA,F,61,1813515,1828562,1863390,1893215,1931148,1993573,2054903,2119560,2121535,2180471,2186062,2182764
